Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Highest education level completed,Political affiliation (uk),Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69150c8cab4c9af1dbcbbe32,67a621a2dc25fcec4c62cf02,AWAITING REVIEW,Not Applicable,2025-11-12T22:39:12.825000Z,2025-11-12T22:57:14.494000Z,,2025-11-12T22:57:14.910019Z,1082.0,CBN3YT5G,387,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Right,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69150d6a91497beffc784d4d,5f98099d48060d0450394002,AWAITING REVIEW,Not Applicable,2025-11-12T22:42:54.895000Z,2025-11-12T23:04:49.399000Z,,2025-11-12T23:04:49.834111Z,1315.0,CBN3YT5G,2501,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Centre,54,Male,White,Switzerland,United Kingdom,United Kingdom,English,No,Full-Time
69150da478079a7c0c59db9d,5fff2877a99bcb65a14a223c,AWAITING REVIEW,Not Applicable,2025-11-12T22:43:48.051000Z,2025-11-12T23:03:07.120000Z,,2025-11-12T23:03:07.545021Z,1160.0,CBN3YT5G,3102,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Left,31,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69150dd43e37ede37158327a,676e6f5eb2e5690f74382e58,AWAITING REVIEW,Not Applicable,2025-11-12T22:45:08.398000Z,2025-11-12T23:14:13.176000Z,,2025-11-12T23:14:13.566701Z,1745.0,CBN3YT5G,1771,Man (including Trans Male/Trans Man),Technical/community college,Left,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69150e53781124db587f7a9b,5cdc899d48d5f100195fafff,AWAITING REVIEW,Not Applicable,2025-11-12T22:46:47.146000Z,2025-11-12T23:11:22.689000Z,,2025-11-12T23:11:23.130344Z,1476.0,CBN3YT5G,3654,Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),Right,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Unemployed (and job seeking)
69150e6bd1b7f56cbb26200b,668a9e53e7690b3b64d48e92,AWAITING REVIEW,Not Applicable,2025-11-12T22:48:05.053000Z,2025-11-12T23:41:31.806000Z,,2025-11-12T23:41:32.213265Z,3207.0,CBN3YT5G,2310,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Left,48,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69150ef1d37363bf8fb6b29e,6658b1491e88ec15902d5301,AWAITING REVIEW,Not Applicable,2025-11-12T22:49:28.891000Z,2025-11-12T23:19:19.896000Z,,2025-11-12T23:19:20.325497Z,1792.0,CBN3YT5G,1687,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Left,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
6915105853ca193ec54f3723,5f3483c9be9b7c3a6d9c2d79,AWAITING REVIEW,Not Applicable,2025-11-12T22:55:49.895000Z,2025-11-12T23:17:53.744000Z,,2025-11-12T23:17:54.166465Z,1324.0,CBN3YT5G,1337,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Centre,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69151230b4d3947d78d51719,5f668a416b792f26ef5ea974,AWAITING REVIEW,Not Applicable,2025-11-12T23:03:24.507000Z,2025-11-12T23:31:04.135000Z,,2025-11-12T23:31:04.576010Z,1660.0,CBN3YT5G,2166,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Centre,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69151268a7a079630ba2b878,5d3b87c1ac6b020019292116,AWAITING REVIEW,Not Applicable,2025-11-12T23:04:41.387000Z,2025-11-12T23:54:01.309000Z,,2025-11-12T23:54:01.723967Z,2960.0,CBN3YT5G,646,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Left,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
6915133c5f0f944de73b82a4,63d50bed33ba8cb1b9794938,AWAITING REVIEW,Not Applicable,2025-11-12T23:07:40.872000Z,2025-11-12T23:32:00.318000Z,,2025-11-12T23:32:00.756504Z,1460.0,CBN3YT5G,1920,Man (including Trans Male/Trans Man),Technical/community college,Left,30,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Other
